shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/1/3,IC1.HOR1100GE2/1/3,100GE,up,Active,TRK:ENLACE:ROS6.HOR1 (Hu0/0/0/1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/0,IC1.HOR1100GE9/0/0,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/2) (32WPU01 2/15/C2) Linea:15008585,Linea:15008585,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/1,IC1.HOR1100GE9/0/1,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/3) (32WPU01 2/15/C1) Linea:15008555,Linea:15008555,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/2,IC1.HOR1100GE9/0/2,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/4) (32WPU01 1/14/C1) Linea:15008586,Linea:15008586,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/3,IC1.HOR1100GE9/0/3,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/5) (32WPU01 1/16/C1) Linea:15008587,Linea:15008587,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/4,IC1.HOR1100GE9/0/4,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/9/0/6)  (32WPU01 1/16/C2) Linea:15008383,Linea:15008383,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/5,IC1.HOR1100GE9/0/5,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/2/0/1) (S004_1 98HOR02 5/1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/6,IC1.HOR1100GE9/0/6,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/2/0/2) (S004_2 98HOR02 5/2),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/7,IC1.HOR1100GE9/0/7,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/4/0/0) (S004_3 98HOR02 6/1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/8,IC1.HOR1100GE9/0/8,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/4/0/1) (S004_4 98HOR02 6/2),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/9,IC1.HOR1100GE9/0/9,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/4/0/2) (S004_5 98HOR02 7/1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/10,IC1.HOR1100GE9/0/10,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/5/0/2) (S004_6 98HOR02 7/2),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/11,IC1.HOR1100GE9/0/11,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/5/0/3) (S004_7 98HOR02 8/1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/12,IC1.HOR1100GE9/0/12,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/6/0/4) (WDM3.HOR1 2/3/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/13,IC1.HOR1100GE9/0/13,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/6/0/5) (WDM3.HOR1 4/9/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/14,IC1.HOR1100GE9/0/14,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/6/0/6) (WDM3.HOR1 4/11/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/15,IC1.HOR1100GE9/0/15,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/7/0/3) (WDM3.HOR1 4/1/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/16,IC1.HOR1100GE9/0/16,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/7/0/4) (WDM3.HOR1 4/3/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/17,IC1.HOR1100GE9/0/17,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/7/0/5) (WDM3.HOR1 4/4/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/18,IC1.HOR1100GE9/0/18,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/8/0/3) (WDM3.HOR1 4/6/C1),NaN,ok
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/19,IC1.HOR1100GE9/0/19,100GE,up,Active,TRK:ENLACE:ROC2.AVA1 (Hu0/0/0/11) (WDM3.HOR1 6/8/C2),NaN,ok
